record_time,app_id,sid,total_req_count,error_count,resp_time_sum,is_eb_breached,is_response_breached
1.70139E+12,753,1039,6,0,0.337,0,0
1.70139E+12,753,1039,1,0,0.102,0,0
1.70139E+12,753,1039,3,0,0.139,0,0
1.7014E+12,753,1039,5,0,0.228,0,0
1.7014E+12,753,1039,6,0,0.239,0,0
1.7014E+12,753,1039,3,0,0.142,0,0
1.7014E+12,753,1039,1,0,0.028,0,0
1.7014E+12,753,1039,2,0,0.107,0,0
1.7014E+12,753,1039,1,0,0.043,0,0
1.7014E+12,753,1039,2,0,0.143,0,0
1.7014E+12,753,1039,2,0,0.063,0,0
1.7014E+12,753,1039,1,0,0.027,0,0
1.7014E+12,753,1039,1,0,0.051,0,0
1.7014E+12,753,1039,4,0,0.139,0,0
1.7014E+12,753,1039,1,0,0.075,0,0
1.7014E+12,753,1039,2,0,0.097,0,0
1.7014E+12,753,1039,2,0,0.076,0,0
1.7014E+12,753,1039,2,0,0.057,0,0
1.7014E+12,753,1039,1,0,0.052,0,0
1.7014E+12,753,1039,8,0,0.421,0,0
1.7014E+12,753,1039,1,0,0.03,0,0
1.7014E+12,753,1039,1,0,0.021,0,0
1.7014E+12,753,1039,3,0,0.092,0,0
1.7014E+12,753,1039,3,0,0.127,0,0
1.7014E+12,753,1039,1,0,0.03,0,0
1.7014E+12,753,1039,1,0,0.061,0,0
1.7014E+12,753,1039,1,0,0.019,0,0
1.7014E+12,753,1039,3,0,0.115,0,0
1.70141E+12,753,1039,3,0,0.075,0,0
1.70141E+12,753,1039,5,0,0.231,0,0
1.70141E+12,753,1039,7,0,0.255,0,0
1.70141E+12,753,1039,7,0,0.347,0,0
1.70141E+12,753,1039,6,0,0.26,0,0
1.70141E+12,753,1039,6,0,0.339,0,0
1.70141E+12,753,1039,3,0,0.141,0,0
1.70141E+12,753,1039,2,0,0.053,0,0
1.70141E+12,753,1039,3,0,0.298,0,0
1.70141E+12,753,1039,1,0,0.066,0,0
1.70141E+12,753,1039,2,0,0.091,0,0
1.70141E+12,753,1039,1,0,0.051,0,0
1.70141E+12,753,1039,1,0,0.044,0,0
1.70141E+12,753,1039,1,0,0.05,0,0
1.70141E+12,753,1039,1,0,0.018,0,0
1.70141E+12,753,1039,1,0,0.025,0,0
1.70141E+12,753,1039,1,0,0.042,0,0
1.70141E+12,753,1039,2,0,0.077,0,0
1.70141E+12,753,1039,3,0,0.107,0,0
1.70141E+12,753,1039,2,0,0.124,0,0
1.70141E+12,753,1039,14,0,0.628,0,0
1.70141E+12,753,1039,1,0,0.031,0,0
1.70141E+12,753,1039,1,0,0.034,0,0
1.70142E+12,753,1039,2,0,0.065,0,0
1.70142E+12,753,1039,1,0,0.046,0,0
1.70142E+12,753,1039,1,0,0.056,0,0
1.70142E+12,753,1039,3,0,0.111,0,0
1.70142E+12,753,1039,10,0,0.415,0,0
1.70142E+12,753,1039,1,0,0.088,0,0
1.70142E+12,753,1039,1,0,0.054,0,0
1.70142E+12,753,1039,2,0,0.066,0,0
1.70142E+12,753,1039,2,0,0.058,0,0
1.70142E+12,753,1039,3,0,0.171,0,0
1.70142E+12,753,1039,7,0,0.239,0,0
1.70142E+12,753,1039,3,0,0.121,0,0
1.70142E+12,753,1039,6,0,0.24,0,0
1.70142E+12,753,1039,9,0,0.344,0,0
1.70142E+12,753,1039,1,0,0.072,0,0
1.70142E+12,753,1039,3,0,0.145,0,0
1.70142E+12,753,1039,1,0,0.041,0,0
1.70142E+12,753,1039,4,0,0.185,0,0
1.70142E+12,753,1039,1,0,0.044,0,0
1.70142E+12,753,1039,1,0,0.033,0,0
