record_time,app_id,sid,total_req_count,error_count,resp_time_sum,is_eb_breached,is_response_breached
1.70174E+12,753,1048,21898,355,722.901,0,0
1.70174E+12,753,1049,360,0,0.493,0,0
1.70174E+12,753,1050,115,0,2.558,0,0
1.70174E+12,753,1051,6340,3084,2522.37,1,0
1.70174E+12,753,1053,178,0,1.538,0,0
1.70174E+12,753,1054,115,0,4.661,0,0
1.70174E+12,753,1055,14938,0,584.33,0,0
1.70174E+12,753,1056,6,0,0.03,0,0
1.70174E+12,753,1059,24212,31,1343.412,0,0
1.70174E+12,753,1060,30549,0,59.546,0,0
1.70174E+12,753,1063,6336,0,12.878,0,0
1.70174E+12,753,1066,6,6,1.099,1,0
1.70174E+12,753,1068,4008,0,3.027,0,0
1.70174E+12,753,1069,893,0,6.754,0,0
1.70174E+12,753,1076,115,0,0.464,0,0
1.70174E+12,753,1080,178,0,3.632,0,0
1.70174E+12,753,1082,14044,0,115.734,0,0
1.70174E+12,753,1086,75,0,0.088,0,0
1.70174E+12,753,1088,6105,0,435.535,0,0
1.70174E+12,753,1091,6552,6,26.654,0,0
1.70174E+12,753,1092,6105,0,106.387,0,0
1.70174E+12,753,1094,1,0,0.01,0,0
1.70174E+12,753,1095,7354,0,15.783,0,0
1.70174E+12,753,1100,24212,31,1863.65,0,0
1.70174E+12,753,1103,209,68,21.948,1,0
1.70174E+12,753,1107,3,0,0.647,0,0
1.70174E+12,753,1008,29770,411,462.881,0,0
1.70174E+12,753,1009,360,0,1.908,0,0
1.70174E+12,753,1011,5869,0,7.092,0,0
1.70174E+12,753,1012,5869,0,108.145,0,0
1.70174E+12,753,1014,3182,0,99.203,0,0
1.70174E+12,753,1015,282,0,1.195,0,0
1.70174E+12,753,1021,974,5,71.4,0,0
1.70174E+12,753,1022,5864,0,92.71,0,0
1.70174E+12,753,1026,48,0,2.422,0,0
1.70174E+12,753,1027,69,0,3.245,0,0
1.70174E+12,753,1028,6145,0,7.411,0,0
1.70174E+12,753,1029,69,0,0.07,0,0
1.70174E+12,753,1032,69,0,1.37,0,0
1.70174E+12,753,1033,22115,0,75.093,0,0
1.70174E+12,753,1034,282,127,42.562,1,0
1.70174E+12,753,1036,6365,3182,2106.577,1,0
1.70174E+12,753,1037,4509,0,432.19,0,0
1.70174E+12,753,1041,62,0,1.96,0,0
1.70174E+12,753,1042,4,3,0.077,1,0
1.70174E+12,753,1043,114,0,2.933,0,0
1.70174E+12,753,1046,1022,5,39.8,0,0
1.70174E+12,753,1047,7508,0,95.394,0,0
1.70174E+12,753,1048,22132,411,733.107,0,0
1.70174E+12,753,1049,360,0,0.503,0,0
1.70174E+12,753,1050,114,0,3.296,0,0
1.70174E+12,753,1051,6364,3182,2536.808,1,0
1.70174E+12,753,1053,211,0,2.438,0,0
1.70174E+12,753,1054,114,0,5.613,0,0
1.70174E+12,753,1055,15138,0,582.553,0,0
1.70174E+12,753,1059,27003,36,1629.665,0,0
1.70174E+12,753,1060,33372,0,70.225,0,0
1.70174E+12,753,1063,6365,0,13.033,0,0
1.70174E+12,753,1068,4008,0,3.011,0,0
1.70174E+12,753,1069,847,0,6.547,0,0
1.70174E+12,753,1076,114,0,0.838,0,0
1.70174E+12,753,1080,211,0,5.497,0,0
1.70174E+12,753,1081,1,1,0.197,1,0
1.70174E+12,753,1082,14291,0,113.611,0,0
1.70174E+12,753,1086,69,0,0.077,0,0
1.70174E+12,753,1088,5869,0,419.214,0,0
1.70174E+12,753,1091,6647,11,27.231,0,0
1.70174E+12,753,1092,5869,0,101.171,0,0
1.70174E+12,753,1094,1,0,0.01,0,0
1.70174E+12,753,1095,7508,0,16.037,0,0
1.70174E+12,753,1100,27005,37,2204.156,0,0
1.70174E+12,753,1103,271,116,28.911,1,0
1.70174E+12,753,1008,29518,406,439.042,0,0
1.70174E+12,753,1009,360,0,1.929,0,0
1.70174E+12,753,1011,6051,0,7.384,0,0
1.70174E+12,753,1012,6050,0,112.589,0,0
1.70174E+12,753,1014,3160,0,98.665,0,0
1.70174E+12,753,1015,219,0,0.831,0,0
1.70174E+12,753,1021,941,8,64.627,0,0
1.70174E+12,753,1022,6022,0,93.336,0,0
1.70174E+12,753,1026,41,0,2.083,0,0
1.70174E+12,753,1027,63,0,3.065,0,0
1.70174E+12,753,1028,6288,0,7.596,0,0
1.70174E+12,753,1029,62,0,0.065,0,0
